Prefix,Destination Host,Port
/platform/addressfinder,addressfinder,8657
/platform/apexiam,apex-iam,8084
/platform/auth/,keycloak-http,80
/platform/api/import,api-metadata,8180
/platform/pam,app-manager,8080
/platform/asm/api/v1,app-sandbox-manager,80
/platform/attributetypefinder,attributetypefinder,8657
/platform/auto-classification,auto-classification,8657
/platform/bolcategory,bolcategory,8657
/platform/bolml,bolml,8657
/platform/cel-js-translator,cel-js-translator,9014
/platform/checkboxfinder,checkboxfinder,8657
/platform/cls,component-library-service,8000
/platform/config-management,config-management,8000
/platform/dm/api/v1,deployment-manager,80
/platform/digitizer,digitizer,8657
/platform/docsplit,docsplit,8657
/platform/docproc,document-service,8657
/platform/dvt,dvt,8080
/platform/ngdvt,dvt-ng,8080
/platform/fieldfinder,fieldfinder,8657
/platform/genericml,genericml,8657
/platform/google-ocr,google-ocr-engine,8657
/platform/invoicecategory,invoicecategory,8657
/platform/invoiceml,invoiceml,8657
/platform/drive,jiffydrive,8080
/platform/jiffy-etl-service,jiffy-etl-service,8657
/platform/job-manager,job-manager,8170
/platform/json-transformation,json-transformation-service,8657
/platform/json2pdf,json2pdf,8657
/platform/lineitemmatch,lineitemmatch,8657
/platform/model-repo/rest,model-repository,8383
/platform/model-repo/grpc-gw,model-repository,8282
/platform/ocr-required,ocr-required,8657
/platform/ocraccuracy,ocraccuracy,8657
/platform/pdf2image,pdf2image,8657
/platform/pdf2json-service,pdf2json-service,8657
/platform/pdfsplit,pdfsplit,8657
/platform/portfolio,portfolio,8657
/platform/sdm/api/v1,sql-db-manager,80
/platform/tablefinder,tablefinder,8657
/platform/taskqueue,taskqueue,8080
/platform/template-builder,template-builder,8657
/platform/tesseract-ocr,tesseract-ocr-engine,8657
/platform/workflow,workhorse,8080
/platform/messenger,workhorse-messenger,5000
/platform/whRenderer,workhorse-renderer,9015
/platform/eventrouting,net-service-eventrouting,5000
/platform/tp,net-service-templateprocessor,5000
/platform/excelservice,net-service-excel,5000
/platform/agentmanager,net-service-agentmanager,5000
/platform/rpaRenderer,rpa-renderer,8000
/platform/rp,net-service-rulesprocessor,5000
/platform/soaptorest,soap2rest,8675
/platform/api,app-data-manager,8002
/platform/createapp,unstructured-gpt,8657
/platform/email/sender,net-service-emailsender,5000
/platform/email/receiver,net-service-emailreceiver,5000
/platform/pdfservice,net-service-pdf,5000
/platform/flatfile,net-service-flatfile,5000
/platform/assistant,apex-assistant,8000
/platform/proxy,platform-proxy-service,8097
/platform/recon,recon,5000
/platform/elastic-automation,elastic-automation,5000
/platform/laserapp,laserapp,9029
/platform/oms,org-service,8097
/platform/preferences,preference-service,8099
/platform/mq/queue,mq,5000
/platform/mq/routing,mqrouting,5000
/platform/mq/channel,mqchannels,5000
/platform/dwh,data-warehouse-service,8087
/platform/dw,warehouse-service,8657
/platform/automationcompiler,net-service-automationscriptcompiler,5000
/platform/performance-analysis,performance-analysis,5000
/platform/conversation-manager,conversationmanager,5000
/platform/ai-assistant,ai-assistant,8000
/platform/agent-service,agent-service,8000

Rewrite URI,Destination Host,Port
/addressfinder,addressfinder,8657
/apexiam,apex-iam,8084
/auth/,keycloak-http,80
/api/import,api-metadata,8180
/pam,app-manager,8080
/asm/api/v1,app-sandbox-manager,80
/attributetypefinder,attributetypefinder,8657
/auto-classification,auto-classification,8657
/bolcategory,bolcategory,8657
/bolml,bolml,8657
/cel-js-translator,cel-js-translator,9014
/checkboxfinder,checkboxfinder,8657
/cls,component-library-service,8000
/config-management,config-management,8000
/dm/api/v1,deployment-manager,80
/digitizer,digitizer,8657
/docsplit,docsplit,8657
/docproc,document-service,8657
/dvt,dvt,8080
/ngdvt,dvt-ng,8080
/fieldfinder,fieldfinder,8657
/genericml,genericml,8657
/google-ocr,google-ocr-engine,8657
/invoicecategory,invoicecategory,8657
/invoiceml,invoiceml,8657
/drive,jiffydrive,8080
/jiffy-etl-service,jiffy-etl-service,8657
/job-manager,job-manager,8170
/json-transformation,json-transformation-service,8657
/json2pdf,json2pdf,8657
/lineitemmatch,lineitemmatch,8657
/model-repo/rest,model-repository,8383
/model-repo/grpc-gw,model-repository,8282
/ocr-required,ocr-required,8657
/ocraccuracy,ocraccuracy,8657
/pdf2image,pdf2image,8657
/pdf2json-service,pdf2json-service,8657
/pdfsplit,pdfsplit,8657
/portfolio,portfolio,8657
/sdm/api/v1,sql-db-manager,80
/tablefinder,tablefinder,8657
/taskqueue,taskqueue,8080
/template-builder,template-builder,8657
/tesseract-ocr,tesseract-ocr-engine,8657
/workflow,workhorse,8080
/messenger,workhorse-messenger,5000
/whRenderer,workhorse-renderer,9015
/eventrouting,net-service-eventrouting,5000
/tp,net-service-templateprocessor,5000
/excelservice,net-service-excel,5000
/agentmanager,net-service-agentmanager,5000
/rpaRenderer,rpa-renderer,8000
/rp,net-service-rulesprocessor,5000
/soaptorest,soap2rest,8675
/api,app-data-manager,8002
/unstructured-gpt/predict,unstructured-gpt,8657
/email/sender,net-service-emailsender,5000
/email/receiver,net-service-emailreceiver,5000
/pdfservice,net-service-pdf,5000
/flatfile,net-service-flatfile,5000
/assistant,apex-assistant,8000
/proxy,platform-proxy-service,8097
/recon,recon,5000
/elastic-automation,elastic-automation,5000
/laserapp,laserapp,9029
/oms,org-service,8097
/preferences,preference-service,8099
/mq/queue,mq,5000
/mq/routing,mqrouting,5000
/mq/channel,mqchannels,5000
/dwh,data-warehouse-service,8087
/dw,warehouse-service,8657
/automationcompiler,net-service-automationscriptcompiler,5000
/performance-analysis,performance-analysis,5000
/conversation-manager,conversationmanager,5000
/ai-assistant,ai-assistant,8000
/agent-service,agent-service,8000
